id,top,link,rating_count,price,skin_type,category,brand,bought_info
B000NWGCZ2,#56,https://www.amazon.com/Vanicream-Moisturizing-Sensitive-Irritated-Dermatologist/dp/B000NWGCZ2/ref=zg_bs_g_11060451_d_sccl_6/146-4523735-3860123?psc=1,"43,482",$13.56,Face,Face Moisturizers,Vanicream,50K+ bought in past month
B07G1VKCND,#57,https://www.amazon.com/Rael-Hydrocolloid-Pimple-Healing-Patch/dp/B07G1VKCND/ref=zg_bs_g_11060451_d_sccl_7/146-4523735-3860123?psc=1,"69,993",$16.99,Face,Pore Cleansing Strips,Rael,30K+ bought in past month
B001UTK76C,#58,https://www.amazon.com/Jergens-Natural-FIRMING-Moisturizer-Medium/dp/B001UTK76C/ref=zg_bs_g_11060451_d_sccl_8/146-4523735-3860123?psc=1,"38,783",$10.47,Sunscreens & Tanning Products,Self-Tanners,Jergens,10K+ bought in past month
B07XXPHQZK,#59,https://www.amazon.com/Laneige-Sleeping-Berry/dp/B07XXPHQZK/ref=zg_bs_g_11060451_d_sccl_9/146-4523735-3860123?psc=1,"48,152",$24.00,Lip Care,Balms & Moisturizers,LANEIGE,20K+ bought in past month
B0C7W6GW8P,#60,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=zg_bs_g_11060451_d_sccl_10/146-4523735-3860123?psc=1,"9,432",$4.00,Lip Care,Balms & Moisturizers,e.l.f.,30K+ bought in past month
B0CVW6NSD2,#61,https://www.amazon.com/Terra-Lotus-Organic-Grass-Fed-Tallow/dp/B0CVW6NSD2/ref=zg_bs_g_11060451_d_sccl_11/146-4523735-3860123?psc=1,"1,796",$19.99,Face,Face Moisturizers,Terra Lotus,20K+ bought in past month
B0C42HJRBF,#62,https://www.amazon.com/Summer-Fridays-Lip-Butter-Balm/dp/B0C42HJRBF/ref=zg_bs_g_11060451_d_sccl_12/146-4523735-3860123?psc=1,"3,820",$32.02,Lip Care,Balms & Moisturizers,Summer Fridays,N/A
B07VWSN95S,#63,https://www.amazon.com/CeraVe-Post-Acne-Refining-Resurfacing-Brightening/dp/B07VWSN95S/ref=zg_bs_g_11060451_d_sccl_13/146-4523735-3860123?psc=1,"50,462",$18.68,Face,Serums,N/A,40K+ bought in past month
B0CLLV2T1P,#64,https://www.amazon.com/Niacinamide-Tranexamic-Hyaluronic-Sensitive-Fragrance-Free/dp/B0CLLV2T1P/ref=zg_bs_g_11060451_d_sccl_14/146-4523735-3860123?psc=1,"4,629",$22.00,Face,Serums,N/A,50K+ bought in past month
B007HD570Q,#65,https://www.amazon.com/Thayers-Alcohol-Free-Petal-Formula-12-Facial/dp/B007HD570Q/ref=zg_bs_g_11060451_d_sccl_15/146-4523735-3860123?psc=1,"128,383",$9.74,Face,Toners & Astringents,THAYERS,10K+ bought in past month
