id,top,link,rating_count,price,skin_type,category,brand,bought_info,cluster_label
B0CLLV2T1P,69,https://www.amazon.com/Niacinamide-Tranexamic-Hyaluronic-Sensitive-Fragrance-Free/dp/B0CLLV2T1P/ref=zg_bs_g_11060451_d_sccl_19/134-7398474-9093341?psc=1,4629,22.0,Face,Serums,unknown,50000.0,Potential Growth
B08TM8DLFJ,70,https://www.amazon.com/Good-Molecules-Hyaluronic-Long-Lasting-Fragrance-free/dp/B08TM8DLFJ/ref=zg_bs_g_11060451_d_sccl_20/134-7398474-9093341?psc=1,9255,5.98,Face,Serums,unknown,20000.0,Potential Growth
B0CCRWC6W9,71,https://www.amazon.com/Daolyo-Hydrocolloid-Blemishes-Salicylic-Calendula/dp/B0CCRWC6W9/ref=zg_bs_g_11060451_d_sccl_21/134-7398474-9093341?psc=1,5440,7.99,Face,Treatments & Masks,Daolyo,40000.0,Potential Growth
B00J5KDCO2,72,https://www.amazon.com/EltaMD-Moisturizer-Hyaluronic-Mineral-Based-Protection/dp/B00J5KDCO2/ref=zg_bs_g_11060451_d_sccl_22/134-7398474-9093341?psc=1,22802,42.0,Sunscreens & Tanning Products,Facial Sunscreens,unknown,30000.0,Potential Growth
B09RYRCXKM,73,https://www.amazon.com/Aquaphor-Healing-Protectant-Avocado-Butter/dp/B09RYRCXKM/ref=zg_bs_g_11060451_d_sccl_23/134-7398474-9093341?psc=1,9715,10.47,Body,Body Butters,Aquaphor,40000.0,Potential Growth
B06XDCPYYL,74,https://www.amazon.com/Aquaphor-Repair-Tube-Blister-Ounce/dp/B06XDCPYYL/ref=zg_bs_g_11060451_d_sccl_24/134-7398474-9093341?psc=1,9291,8.36,Lip Care,Balms & Moisturizers,Aquaphor,50000.0,Potential Growth
B0B1PDDLGZ,75,https://www.amazon.com/Getter-Multi-Oil-Hydrating-Naturium-Cleanser/dp/B0B1PDDLGZ/ref=zg_bs_g_11060451_d_sccl_25/134-7398474-9093341?psc=1,10554,31.95,Body,Body Washes,Naturium,29598.0,Potential Growth
B09GN1YRVP,76,https://www.amazon.com/Irish-Spring-Original-Clean-Body/dp/B09GN1YRVP/ref=zg_bs_g_11060451_d_sccl_26/134-7398474-9093341?psc=1,19820,6.94,Body,Body Washes,Irish Spring,10000.0,Potential Growth
B008EKY8VK,77,https://www.amazon.com/LOreal-Paris-Revitalift-Moisturizer-Hyaluronic/dp/B008EKY8VK/ref=zg_bs_g_11060451_d_sccl_27/134-7398474-9093341?psc=1,43012,18.56,Face,Face Moisturizers,L'ORÉAL PARIS,10000.0,Potential Growth
B01M4NFD2N,78,https://www.amazon.com/Cetaphil-Gentle-Makeup-Removing-Wipes/dp/B01M4NFD2N/ref=zg_bs_g_11060451_d_sccl_28/134-7398474-9093341?psc=1,20179,6.79,Face,Cloths & Towelettes,Cetaphil,20000.0,Potential Growth
